OrderID,Date,Product,Category,Quantity,Price,Region,Revenue
1001,2023-06-20,Laptop,Electronics,7,256,West,1792
1002,2023-01-18,Laptop,Electronics,5,690,West,3450
1003,2023-09-16,Jeans,Apparel,4,159,West,636
1004,2023-04-16,Notebook,Books,8,32,North,256
1005,2023-06-28,Laptop,Electronics,9,311,North,2799
1006,2023-08-30,Pen,Books,3,35,East,105
1007,2023-11-30,Headphones,Electronics,3,656,East,1968
1008,2023-02-12,Laptop,Electronics,10,344,South,3440
1009,2023-04-29,Pen,Books,2,11,South,22
1010,2023-06-01,Jeans,Apparel,9,665,South,5985
1011,2023-06-26,Notebook,Books,8,36,South,288
1012,2023-05-27,T-shirt,Apparel,8,365,East,2920
1013,2023-11-08,Shirt,Apparel,1,795,East,795
1014,2023-03-25,Laptop,Electronics,3,213,West,639
1015,2023-02-02,Laptop,Electronics,9,715,West,6435
1016,2023-11-09,Laptop,Electronics,3,626,West,1878
1017,2023-09-28,Notebook,Books,9,39,South,351
1018,2023-10-02,Headphones,Electronics,9,50,West,450
1019,2023-01-20,T-shirt,Apparel,5,201,North,1005
1020,2023-01-09,Pen,Books,5,49,West,245
1021,2023-07-17,Headphones,Electronics,2,281,South,562
1022,2023-03-01,Jeans,Apparel,2,582,East,1164
1023,2023-08-13,Jeans,Apparel,1,81,West,81
1024,2023-09-21,Phone,Electronics,10,634,North,6340
1025,2023-08-03,Pen,Books,9,31,West,279
1026,2023-05-31,Shirt,Apparel,6,789,West,4734
1027,2023-02-23,Book,Books,4,33,East,132
1028,2023-08-10,Headphones,Electronics,5,373,West,1865
1029,2023-04-18,Jeans,Apparel,1,423,South,423
1030,2023-10-30,Pen,Books,4,49,North,196
1031,2023-11-07,T-shirt,Apparel,8,680,West,5440
1032,2023-03-24,Shirt,Apparel,10,347,East,3470
1033,2023-11-16,Pen,Books,10,13,North,130
1034,2023-03-18,Jeans,Apparel,6,685,North,4110
1035,2023-10-20,T-shirt,Apparel,5,80,East,400
1036,2023-08-22,Shirt,Apparel,4,281,East,1124
1037,2023-08-10,Jeans,Apparel,9,350,South,3150
1038,2023-10-27,T-shirt,Apparel,1,255,West,255
1039,2023-08-05,Laptop,Electronics,9,357,East,3213
1040,2023-03-16,T-shirt,Apparel,3,552,East,1656
1041,2023-04-24,Book,Books,7,46,South,322
1042,2023-04-03,Phone,Electronics,10,698,South,6980
1043,2023-02-22,Headphones,Electronics,4,335,South,1340
1044,2023-01-29,Book,Books,2,45,East,90
1045,2023-11-22,Phone,Electronics,7,230,South,1610
1046,2023-07-06,Headphones,Electronics,9,396,South,3564
1047,2023-06-17,Shirt,Apparel,10,795,East,7950
1048,2023-12-22,T-shirt,Apparel,3,140,East,420
1049,2023-12-27,Notebook,Books,7,34,North,238
1050,2023-10-01,Jeans,Apparel,8,331,West,2648
1051,2023-02-19,Pen,Books,10,49,West,490
1052,2023-06-08,Notebook,Books,2,35,East,70
1053,2023-12-24,Notebook,Books,5,49,East,245
1054,2023-05-28,Jeans,Apparel,8,452,South,3616
1055,2023-11-02,Shirt,Apparel,2,347,South,694
1056,2023-01-28,Jeans,Apparel,4,544,West,2176
1057,2023-02-09,Jeans,Apparel,7,374,West,2618
1058,2023-09-05,Book,Books,4,7,South,28
1059,2023-08-12,Headphones,Electronics,1,506,West,506
1060,2023-02-23,Laptop,Electronics,4,623,North,2492
1061,2023-11-09,Book,Books,8,7,West,56
1062,2023-11-16,Book,Books,6,17,East,102
1063,2023-02-04,Jeans,Apparel,8,415,West,3320
1064,2023-03-29,Notebook,Books,8,21,South,168
1065,2023-03-15,Book,Books,9,6,South,54
1066,2023-05-15,Jeans,Apparel,4,730,North,2920
1067,2023-12-25,Laptop,Electronics,5,516,West,2580
1068,2023-04-01,Headphones,Electronics,8,637,South,5096
1069,2023-09-09,Notebook,Books,4,22,West,88
1070,2023-11-08,Laptop,Electronics,4,242,North,968
1071,2023-02-10,Book,Books,7,18,South,126
1072,2023-03-04,Jeans,Apparel,4,446,North,1784
1073,2023-07-13,Book,Books,7,39,South,273
1074,2023-08-08,Book,Books,10,42,South,420
1075,2023-11-08,Pen,Books,4,41,South,164
1076,2023-08-27,Notebook,Books,5,6,South,30
1077,2023-11-25,T-shirt,Apparel,10,340,South,3400
1078,2023-06-06,Laptop,Electronics,6,406,South,2436
1079,2023-12-19,Phone,Electronics,2,425,North,850
1080,2023-10-26,Shirt,Apparel,3,798,East,2394
1081,2023-02-19,Headphones,Electronics,10,690,East,6900
1082,2023-11-11,Shirt,Apparel,1,108,North,108
1083,2023-03-09,Pen,Books,7,28,West,196
1084,2023-07-30,T-shirt,Apparel,1,244,West,244
1085,2023-04-13,Jeans,Apparel,8,357,East,2856
1086,2023-09-29,Shirt,Apparel,8,354,East,2832
1087,2023-11-17,T-shirt,Apparel,2,218,West,436
1088,2023-08-20,Notebook,Books,2,14,South,28
1089,2023-08-05,Phone,Electronics,7,193,West,1351
1090,2023-05-11,Pen,Books,1,12,South,12
1091,2023-01-30,Headphones,Electronics,3,181,East,543
1092,2023-04-01,Pen,Books,2,22,East,44
1093,2023-11-15,Notebook,Books,1,9,East,9
1094,2023-04-10,Pen,Books,1,39,West,39
1095,2023-08-14,Laptop,Electronics,9,514,North,4626
1096,2023-10-16,Shirt,Apparel,7,387,West,2709
1097,2023-09-04,Shirt,Apparel,5,243,North,1215
1098,2023-04-25,Phone,Electronics,10,768,East,7680
1099,2023-08-02,Book,Books,2,5,West,10
1100,2023-10-20,Phone,Electronics,9,258,North,2322
1101,2023-04-09,Notebook,Books,3,17,South,51
1102,2023-05-22,Phone,Electronics,1,613,South,613
1103,2023-01-13,Laptop,Electronics,2,419,North,838
1104,2023-05-07,Jeans,Apparel,3,735,West,2205
1105,2023-04-17,Book,Books,5,25,North,125
1106,2023-04-11,Laptop,Electronics,9,332,East,2988
1107,2023-09-20,Pen,Books,5,43,North,215
1108,2023-06-01,Jeans,Apparel,1,601,North,601
1109,2023-07-13,Notebook,Books,3,8,South,24
1110,2023-07-26,Notebook,Books,4,28,North,112
1111,2023-08-03,Notebook,Books,8,47,West,376
1112,2023-06-30,Pen,Books,2,50,East,100
1113,2023-06-10,T-shirt,Apparel,4,366,West,1464
1114,2023-11-29,Shirt,Apparel,5,196,South,980
1115,2023-12-17,Phone,Electronics,3,97,South,291
1116,2023-04-02,Phone,Electronics,3,342,South,1026
1117,2023-02-01,Jeans,Apparel,7,745,East,5215
1118,2023-10-20,Headphones,Electronics,8,585,West,4680
1119,2023-08-08,Laptop,Electronics,9,432,West,3888
1120,2023-01-08,Shirt,Apparel,2,552,South,1104
1121,2023-05-26,Pen,Books,7,24,East,168
1122,2023-04-05,Book,Books,9,18,West,162
1123,2023-10-12,Shirt,Apparel,4,177,West,708
1124,2023-09-29,Book,Books,7,38,North,266
1125,2023-11-17,Jeans,Apparel,1,739,South,739
1126,2023-03-30,T-shirt,Apparel,4,395,South,1580
1127,2023-12-20,Shirt,Apparel,7,530,West,3710
1128,2023-12-31,Phone,Electronics,4,464,North,1856
1129,2023-06-25,Pen,Books,10,46,South,460
1130,2023-11-04,Notebook,Books,1,50,East,50
1131,2023-11-12,Shirt,Apparel,8,117,North,936
1132,2023-10-12,Book,Books,2,50,South,100
1133,2023-03-24,Notebook,Books,2,15,North,30
1134,2023-10-31,Phone,Electronics,10,593,East,5930
1135,2023-10-28,Phone,Electronics,2,514,East,1028
1136,2023-05-02,Notebook,Books,8,12,East,96
1137,2023-07-14,Shirt,Apparel,9,582,East,5238
1138,2023-02-01,Book,Books,3,20,West,60
